"","Cow Number","Mutli lact","Tx","CM","CMCode","Daysatrisk","Age","Parity","DIM at enrolment","Enrolment date","Exit date","BirthDate","CalveDate","Clinical case date","Pathogen","CMDIM","calveposten","dayin","dayout"
"1","1553",NA,0,1,NA,40,29.3092105263158,1,2,2016-03-03,2016-03-03,2013-09-26,2016-03-03,2016-03-03,NA,0,2016-03-03,48,48
"2","1115",NA,0,1,NA,43,60.0328947368421,3,2,2016-02-29,2016-03-01,2011-03-04,2016-02-29,2016-03-01,NA,1,2016-02-29,45,46
"3","1567",NA,0,1,NA,42,28.2894736842105,1,2,2016-03-01,2016-03-02,2013-10-25,2016-03-01,2016-03-02,NA,1,2016-03-01,46,47
"4","1373",NA,0,1,NA,54,40.8552631578947,2,2,2016-02-18,2016-02-21,2012-09-26,2016-02-18,2016-02-21,NA,3,2016-02-18,34,37
"5","1425",NA,0,1,NA,85,34.8355263157895,1,2,2016-01-18,2016-01-21,2013-02-25,2016-01-18,2016-01-21,NA,3,2016-01-18,3,6
"6","25",2,0,1,NA,27,73.7828947368421,5,0,2016-03-18,2016-03-20,2010-01-26,2016-03-18,2016-03-20,NA,NA,2016-03-18,63,65
"7","25",1,0,0,0,89,71.7434210526316,4,282,2016-01-16,2016-04-14,2010-01-26,2015-04-09,NA,NA,NA,NA,1,90
"8","191",2,0,0,NA,18,62.8289473684211,3,0,2016-03-27,2016-04-14,2011-01-03,2016-03-27,NA,NA,NA,2016-03-27,72,90
"9","191",1,0,0,0,27,60.4934210526316,2,373,2016-01-16,2016-02-12,2011-01-03,2015-01-08,NA,NA,NA,NA,1,28
"10","780",1,1,0,0,89,61.4473684210526,3,309,2016-01-16,2016-04-14,2010-12-05,2015-03-13,NA,NA,NA,NA,1,90
"11","780",2,1,0,NA,35,63.2236842105263,4,0,2016-03-10,2016-04-14,2010-12-05,2016-03-10,NA,NA,NA,2016-03-10,55,90
"12","958",1,1,0,0,89,77.9934210526316,4,285,2016-01-16,2016-04-14,2009-07-20,2015-04-06,NA,NA,NA,NA,1,90
"13","958",2,1,0,NA,16,80.3947368421053,5,0,2016-03-29,2016-04-14,2009-07-20,2016-03-29,NA,NA,NA,2016-03-29,74,90
"14","1350",NA,1,1,NA,68,42.0723684210526,2,2,2016-02-04,2016-02-04,2012-08-06,2016-02-04,2016-02-04,NA,0,2016-02-04,20,20
"15","1468",NA,1,1,NA,23,34.8026315789474,1,2,2016-03-20,2016-03-20,2013-04-29,2016-03-20,2016-03-20,NA,0,2016-03-20,65,65
"16","1555",NA,0,1,4,19,29.9013157894737,1,2,2016-03-24,2016-03-28,2013-09-29,2016-03-24,2016-03-28,"NOTSUB",4,2016-03-24,69,73
"17","1589",NA,0,1,4,45,26.5789473684211,1,2,2016-02-27,2016-03-02,2013-12-13,2016-02-27,2016-03-02,"NOTSUB",4,2016-02-27,43,47
"18","4002",NA,1,1,4,48,25.6907894736842,1,2,2016-02-24,2016-02-28,2014-01-06,2016-02-24,2016-02-28,"NOTSUB",4,2016-02-24,40,44
"19","4014",NA,1,1,4,26,25.6578947368421,1,2,2016-03-17,2016-03-21,2014-01-29,2016-03-17,2016-03-21,"NOTSUB",4,2016-03-17,62,66
"20","960",NA,1,1,4,23,80.1644736842105,5,2,2016-03-20,2016-03-25,2009-07-20,2016-03-20,2016-03-25,"NOTSUB",5,2016-03-20,65,70
"21","4045",NA,0,1,3,55,23.3552631578947,1,2,2016-02-17,2016-02-22,2014-03-11,2016-02-17,2016-02-22,"NG",5,2016-02-17,33,38
"22","1196",NA,1,1,1,80,52.1381578947368,3,2,2016-01-23,2016-01-29,2011-09-23,2016-01-23,2016-01-29,"SU",6,2016-01-23,8,14
"23","1230",NA,1,1,4,42,49.9671052631579,3,2,2016-03-01,2016-03-07,2012-01-05,2016-03-01,2016-03-07,"NOTSUB",6,2016-03-01,46,52
"24","1586",NA,1,1,4,16,27.7302631578947,1,2,2016-03-27,2016-04-02,2013-12-07,2016-03-27,2016-04-02,"NOTSUB",6,2016-03-27,72,78
"25","166",NA,1,1,1,64,62.5657894736842,3,2,2016-02-02,2016-02-09,2010-11-20,2016-02-02,2016-02-09,"SU",7,2016-02-02,18,25
"26","1597",NA,0,1,4,48,25.8881578947368,1,2,2016-02-24,2016-03-02,2013-12-31,2016-02-24,2016-03-02,"NOTSUB",7,2016-02-24,40,47
"27","182",NA,1,1,4,70,61.9407894736842,4,2,2016-02-02,2016-02-10,2010-12-09,2016-02-02,2016-02-10,"NOTSUB",8,2016-02-02,18,26
"28","1579",NA,0,1,4,60,27.0394736842105,1,2,2016-02-12,2016-02-20,2013-11-14,2016-02-12,2016-02-20,"NOTSUB",8,2016-02-12,28,36
"29","1152",NA,1,1,1,55,57.0065789473684,3,2,2016-02-17,2016-02-26,2011-05-23,2016-02-17,2016-02-26,"SU",9,2016-02-17,33,42
"30","1375",NA,0,1,2,63,40.2631578947368,2,2,2016-02-09,2016-02-23,2012-10-05,2016-02-09,2016-02-23,"SA",14,2016-02-09,25,39
"31","1370",NA,1,1,1,83,40.2302631578947,2,2,2016-01-20,2016-02-04,2012-09-16,2016-01-20,2016-02-04,"SU",15,2016-01-20,5,20
